study_name,cpt,wrvu,category,source
Brain Shunt Study,78610,0.29,BRAIN,orbit_cme_seed
CSF Flow Study,78630,0.66,BRAIN,orbit_cme_seed
CSF Flow Study (Cisternogram),78635,0.59,BRAIN,orbit_cme_seed
CSF Shunt Study,78645,0.56,BRAIN,orbit_cme_seed
CSF Leakage,78650,0.59,BRAIN,orbit_cme_seed
Fluoroscopy < 1 Hour,76000,0.30,GENERAL,orbit_cme_seed
Esophagram/Barium Swallow,74220,0.59,GI,orbit_cme_seed
Modified Barium Swallow (MBS),74230,0.52,GI,orbit_cme_seed
Upper GI (UGI) Single Contrast,74240,0.78,GI,orbit_cme_seed
Upper GI (UGI) Double Contrast,74246,0.88,GI,orbit_cme_seed
UGI w/ SBFT,74248,0.68,GI,orbit_cme_seed
Small Bowel Follow-Through (SBFT),74250,0.79,GI,orbit_cme_seed
Barium Enema (BE) Single Contrast,74270,1.01,GI,orbit_cme_seed
Barium Enema (BE) Double Contrast,74280,1.23,GI,orbit_cme_seed
Barium Enema w/ Air Contrast,74283,1.97,GI,orbit_cme_seed
Cholangiogram IOC,74300,0.26,GI,orbit_cme_seed
Biliary Drain (T-Tube) Injection,74328,0.46,GI,orbit_cme_seed
Biliary Drain (T-Tube) Follow-Through,74329,0.46,GI,orbit_cme_seed
Biliary Manometry,74330,0.55,GI,orbit_cme_seed
Fluoro Guidance GI Tube,74340,0.53,GI,orbit_cme_seed
Pharynx Swallow Study,70370,0.31,GI,orbit_cme_seed
Intravenous Pyelogram (IVP),74400,0.48,GU,orbit_cme_seed
IVP Infusion,74410,0.48,GU,orbit_cme_seed
Retrograde Pyelogram,74420,0.51,GU,orbit_cme_seed
Cystogram,74430,0.31,GU,orbit_cme_seed
VCUG/Urethrogram,74450,0.32,GU,orbit_cme_seed
VCUG Voiding Phase Only,74455,0.32,GU,orbit_cme_seed
Hysterosalpingogram (HSG),74742,0.59,GU,orbit_cme_seed
HSG Radiologic Supervision & Interpretation,74740,0.37,GU,orbit_cme_seed
Fluoro Guidance Central Line,77001,0.37,GUIDANCE,orbit_cme_seed
Fluoro Needle Localization,77002,0.53,GUIDANCE,orbit_cme_seed
