"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"Stress Echo Only","STRESS ECHO ONLY","[""93350-26""]","93350","26","1.42","OTHER","Cardiac","not_applicable","","[""Stress Echo Only"",""STRESS ECHO ONLY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Stress Echo Complete","STRESS ECHO COMPLETE","[""93351-26""]","93351","26","1.71","OTHER","Cardiac","not_applicable","","[""Stress Echo Complete"",""STRESS ECHO COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR SI Joints 1-2 Views","XR SI JOINTS 1 2 VIEWS","[""72200-26""]","72200","26","0.17","XR","Spine","not_applicable","","[""XR SI Joints 1-2 Views"",""XR SI JOINTS 1 2 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR SI Joints 3+ Views","XR SI JOINTS 3 VIEWS","[""72202-26""]","72202","26","0.22","XR","Spine","not_applicable","","[""XR SI Joints 3+ Views"",""XR SI JOINTS 3 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Sacrum & Coccyx","XR SACRUM AND COCCYX","[""72220-26""]","72220","26","0.17","XR","Spine","not_applicable","","[""XR Sacrum \u0026 Coccyx"",""XR SACRUM AND COCCYX""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Skeletal Survey Limited","SKELETAL SURVEY LIMITED","[""77074-26""]","77074","26","0.43","XR","Bone Survey","not_applicable","","[""Skeletal Survey Limited"",""SKELETAL SURVEY LIMITED""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Skeletal Survey Complete","SKELETAL SURVEY COMPLETE","[""77075-26""]","77075","26","0.54","XR","Bone Survey","not_applicable","","[""Skeletal Survey Complete"",""SKELETAL SURVEY COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Skeletal Survey Infant","SKELETAL SURVEY INFANT","[""77076-26""]","77076","26","0.68","XR","Bone Survey","not_applicable","","[""Skeletal Survey Infant"",""SKELETAL SURVEY INFANT""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Joint Survey Single View","JOINT SURVEY SINGLE VIEW","[""77077-26""]","77077","26","0.32","OTHER","Bone Survey","not_applicable","","[""Joint Survey Single View"",""JOINT SURVEY SINGLE VIEW""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Bone Length Study","BONE LENGTH STUDY","[""77073-26""]","77073","26","0.25","XR","Bone Study","not_applicable","","[""Bone Length Study"",""BONE LENGTH STUDY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"MRI Bone Marrow Blood Supply","MRI BONE MARROW BLOOD SUPPLY","[""77084-26""]","77084","26","1.56","MRI","Bone Study","not_applicable","","[""MRI Bone Marrow Blood Supply"",""MRI BONE MARROW BLOOD SUPPLY""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"CT Bone Density Axial","CT BONE DENSITY AXIAL","[""77078-26""]","77078","26","0.24","CT","Bone Density","not_applicable","","[""CT Bone Density Axial"",""CT BONE DENSITY AXIAL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Bone Marrow Scan Limited","BONE MARROW SCAN LIMITED","[""78102-26""]","78102","26","0.54","NM_PET","Bone Marrow","not_applicable","","[""Bone Marrow Scan Limited"",""BONE MARROW SCAN LIMITED""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Bone Marrow Scan Multiple Areas","BONE MARROW SCAN MULTIPLE AREAS","[""78103-26""]","78103","26","0.73","NM_PET","Bone Marrow","not_applicable","","[""Bone Marrow Scan Multiple Areas"",""BONE MARROW SCAN MULTIPLE AREAS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram Shoulder","ARTHROGRAM SHOULDER","[""73040-26""]","73040","26","0.53","XR","Upper Extremity","not_applicable","","[""Arthrogram Shoulder"",""ARTHROGRAM SHOULDER""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram Elbow","ARTHROGRAM ELBOW","[""73085-26""]","73085","26","0.53","XR","Upper Extremity","not_applicable","","[""Arthrogram Elbow"",""ARTHROGRAM ELBOW""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram Wrist","ARTHROGRAM WRIST","[""73115-26""]","73115","26","0.53","XR","Upper Extremity","not_applicable","","[""Arthrogram Wrist"",""ARTHROGRAM WRIST""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram Hip","ARTHROGRAM HIP","[""73525-26""]","73525","26","0.53","XR","Pelvis","not_applicable","","[""Arthrogram Hip"",""ARTHROGRAM HIP""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
